"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1",0.9,0.283333333333333,0.17,0.8,0.142,57.1247224357076,0.06,0.051,0.069,0,0.3,0.15,0.39,0.741,0.65,0.26,6.79,11.2,20.3,6.79,11.2,20.3,0,0.03,0,1850,672.81,1003.93,1632.35,1,0.8,0.017,11879155.1184633,91.5808109358877,129712.272659165
"2",0.5,0.2375,0.58,0.87,0.096,65.877109764958,0.08,0.001,0.063,0,0.27,0.43,0.25,0.6568,0.56,0.22,6.29,22.2,38.3,6.29,22.2,38.3,0.03,0.03,0,1750,672.81,1253.93,1782.35,0.85,0.7,0.019,12392879.1697985,443.120725812136,27967.2749386418
"3",0.2,0.3,0,0.42,0.06,35.2487876333457,0.03,0.036,0.024,0,0.36,0.28,0.21,0.6755,0.45,0.41,6.79,24.2,36.8,6.79,24.2,36.8,0.03,0.06,0,1700,622.81,1053.93,1482.35,0.75,0.65,0.009,12398733.5516504,371.918382431228,33337.2431623303
"4",0.6,0.5,0.52,0.01,0.188,118.587285335234,0.03,0.007,0.062,0,0.14,0.21,0.28,0.6379,0.49,0.29,6.29,13.2,28.3,6.29,13.2,28.3,0.06,0.03,0,1950,622.81,753.93,1582.35,0.95,0.75,0.015,11392920.6934379,13.4081790775767,849699.32363828
"5",0.9,1.03333333333333,0.03,0.6,0.086,62.662747037094,0.03,0.007,0.098,0,0.38,0.49,0.39,0.5408,0.44,0.18,5.79,8.7,35.3,5.79,8.7,35.3,0,0.03,0,650,372.81,1003.93,1782.35,0.85,0.7,0.031,4656809.0523863,111.563665176147,41741.2698393668
"6",0.3,0.4125,0.13,0.89,0.175,145.590326218127,0.08,0.074,0.079,0,0.33,0.47,0.14,0.8258,0.74,0.33,5.79,24.2,30.3,5.79,24.2,30.3,0.03,0,0,1300,622.81,1153.93,1532.35,0.9,0.8,0.033,7961409.42947049,402.999286401947,19755.3933669497
"7",0.6,0.425,0.25,0.74,0.042,84.4240922729693,0.08,0.068,0.035,0,0.31,0.21,0.41,0.3917,0.23,0.21,6.29,8.2,20.8,6.29,8.2,20.8,0.06,0.06,0,1300,522.81,1253.93,1032.35,0.85,0.85,0.034,9621979.67301909,176.675115596864,54461.4313142686
"8",0.6,0.7,0.12,0.69,0.105,27.9875000522651,0.04,0.053,0.044,0,0.35,0.11,0.19,0.648,0.45,0.36,6.79,23.2,39.3,6.79,23.2,39.3,0.03,0.06,0,500,622.81,753.93,2132.35,0.9,0.7,0.028,2989060.01783452,313.703159576739,9528.30702077555
"9",0.5,1.05,0.21,0.67,0.031,66.2752509981835,0.04,0.08,0.025,0,0.24,0.46,0.44,0.5575,0.41,0.25,6.79,11.2,19.8,6.79,11.2,19.8,0.06,0.03,0,550,572.81,703.93,2082.35,1,0.8,0.042,4200405.08393194,320.781033282585,13094.3062342208
"10",0.2,0.32,0.13,0.19,0.062,41.8291330941767,0.05,0.073,0.066,0,0.45,0.45,0.37,0.3583,0.31,0.07,5.79,11.7,33.3,5.79,11.7,33.3,0.06,0.06,0,1450,372.81,1003.93,1682.35,0.95,0.8,0.016,10465897.309944,125.33159687257,83505.6567625576
