"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1",0.5,0.377777777777778,0.8,0.21,0.093,24.3118573784686,0.045,0.028,0.048,0,0.5,0.38,0.5,0.7008,0.56,0.32,6.79,24.2,40.8,6.79,24.2,40.8,0,0.03,0,1100,372.81,1003.93,2132.35,0.85,0.75,0.017,7572658.44062957,193.114146116977,39213.3802359694
"2",0.1,0.372549019607843,0.73,0.8,0.163,62.4764380362929,0.051,0.044,0.066,0,0.13,0.24,0.49,0.3414,0.26,0.11,6.29,14.2,26.3,6.29,14.2,26.3,0,0.06,0,1950,622.81,703.93,1332.35,0.8,0.75,0.019,11527254.8760593,487.352543812699,23652.8053919208
"3",0.4,0.148648648648649,0.63,0.47,0.196,56.7279905187009,0.074,0.009,0.05,0,0.27,0.18,0.33,0.2278,0.22,0.01,6.29,21.2,33.3,6.29,21.2,33.3,0.03,0.03,0,1750,472.81,1303.93,982.35,0.9,0.7,0.011,10142565.3389243,230.783225711242,43948.451225891
"4",0.9,0.205479452054794,0.42,0.42,0.158,40.2182085971188,0.073,0.037,0.02,0,0.27,0.37,0.44,0.4525,0.27,0.25,6.29,19.7,21.8,6.29,19.7,21.8,0.03,0.03,0,950,622.81,653.93,1182.35,0.8,0.85,0.015,5835552.96731559,32.3773485876068,180235.665422872
"5",0.2,0.226415094339623,0.12,0.81,0.185,58.6039045442116,0.053,0.02,0.042,0,0.15,0.2,0.25,0.5842,0.46,0.23,6.29,21.7,38.3,6.29,21.7,38.3,0,0.06,0,900,522.81,1103.93,1682.35,0.95,0.75,0.012,4973416.37455506,517.231139477517,9615.46201487206
"6",0.3,0.196428571428571,0.45,0.31,0.18,80.6525711724905,0.056,0.002,0.052,0,0.19,0.46,0.32,0.8902,0.82,0.39,6.29,21.2,25.3,6.29,21.2,25.3,0.03,0.03,0,650,522.81,803.93,1732.35,0.75,0.8,0.011,3811389.55193477,112.192816994176,33971.7787114003
"7",0.7,0.150684931506849,0.01,0.43,0.05,73.8277261593106,0.073,0.014,0.029,0,0.46,0.38,0.33,0.595,0.46,0.25,5.79,7.7,33.3,5.79,7.7,33.3,0.03,0,0,800,572.81,1253.93,1532.35,0.95,0.8,0.011,6895326.96105164,128.274964768201,53754.2689917071
"8",0.6,0.333333333333333,0.73,0.81,0.066,73.3166083536473,0.042,0.005,0.026,0,0.46,0.48,0.12,0.398,0.14,0.3,6.79,23.2,38.8,6.79,23.2,38.8,0.03,0.06,0,2450,422.81,1103.93,1582.35,1,0.8,0.014,17209591.4445557,281.187191075669,61203.3264343271
"9",0.9,0.189655172413793,0.67,0.01,0.071,45.8450899510564,0.058,0.047,0.085,0,0.17,0.25,0.28,0.5392,0.36,0.28,5.79,15.2,32.3,5.79,15.2,32.3,0.03,0.03,0,1100,472.81,1103.93,1832.35,1,0.7,0.011,8239779.60904939,26.1105510012035,315572.79693828
"10",0.3,0.164556962025316,0.17,0.72,0.192,61.1490145777773,0.079,0.048,0.071,0,0.43,0.43,0.47,0.9274,0.89,0.34,6.79,22.2,32.3,6.79,22.2,32.3,0.03,0.03,0,1600,522.81,1303.93,982.35,0.95,0.7,0.013,9257639.4944727,467.594839319587,19798.4210175283
"11",0.2,0.232558139534884,0.79,0.8,0.057,65.0565362012874,0.043,0.006,0.092,0,0.13,0.29,0.26,0.5104,0.32,0.28,6.29,18.2,27.8,6.29,18.2,27.8,0.03,0.06,0,2400,572.81,1303.93,1282.35,0.85,0.7,0.01,17758782.0275893,668.157749500699,26578.726417317
"12",0.3,0.205882352941176,0.54,0.37,0.153,120.07428415046,0.068,0.001,0.006,0,0.48,0.14,0.18,0.475,0.3,0.25,6.79,20.7,31.3,6.79,20.7,31.3,0.03,0,0,1900,422.81,753.93,1132.35,1,0.7,0.014,12812535.3055228,274.029737654918,46756.0032541337
"13",0.4,0.226415094339623,0.34,0.64,0.2,51.7779899836907,0.053,0.013,0.019,0,0.24,0.28,0.45,0.3928,0.31,0.12,6.79,22.2,33.3,6.79,22.2,33.3,0.03,0.03,0,1450,472.81,1153.93,2082.35,0.9,0.8,0.012,8334756.18702715,213.519994080567,39035.0150716199
"14",0.1,0.197368421052632,0.51,0.61,0.136,41.0078787142241,0.076,0.01,0.035,0,0.32,0.47,0.32,0.5053,0.49,0.03,5.79,15.2,38.8,5.79,15.2,38.8,0,0.03,0,1500,672.81,803.93,1132.35,0.8,0.7,0.015,9852120.46432641,489.850096111798,20112.5212438008
"15",1,0.192307692307692,0.56,0.48,0.055,42.0049247168686,0.078,0,0.024,0,0.49,0.34,0.35,0.3522,0.21,0.18,5.79,20.2,23.3,5.79,20.2,23.3,0.03,0,0,2350,372.81,653.93,2132.35,0.85,0.75,0.015,19748852.2953235,45.0921731558869,437966.301314649
"16",0.7,0.311475409836066,0.66,0.29,0.102,38.1885794365113,0.061,0.034,0.083,0,0.34,0.41,0.11,0.9208,0.88,0.34,6.29,10.2,23.3,6.29,10.2,23.3,0,0.06,0,1900,572.81,953.93,1132.35,0.9,0.8,0.019,12184432.6040735,164.78806625165,73940.0181167639
"17",0.3,0.166666666666667,0.38,0.09,0.155,52.4481863110722,0.066,0.03,0.02,0,0.36,0.48,0.25,0.824,0.8,0.12,5.79,10.2,38.3,5.79,10.2,38.3,0.03,0.03,0,1300,622.81,1203.93,2132.35,0.8,0.7,0.011,8157227.24008227,67.0367644417247,121682.890097916
"18",0.1,0.431818181818182,0.75,0.33,0.077,44.2495697995375,0.044,0.024,0.058,0,0.38,0.49,0.45,0.8589,0.83,0.17,6.79,16.7,31.8,6.79,16.7,31.8,0.03,0.06,0,2450,472.81,753.93,1482.35,1,0.7,0.019,17059475.7379036,395.104795403546,43177.091081569
"19",0.6,0.290322580645161,0.31,0.44,0.162,52.7380801670368,0.062,0.031,0.015,0,0.28,0.27,0.5,0.5896,0.43,0.28,6.79,7.7,37.8,6.79,7.7,37.8,0.03,0.03,0,2250,422.81,753.93,1282.35,0.85,0.75,0.018,13955314.1862035,140.299815157044,99467.8016544971
"20",0.2,0.279411764705882,0.49,0.44,0.164,37.2817732022909,0.068,0.021,0.025,0,0.35,0.32,0.18,0.8956,0.82,0.42,6.29,20.7,31.3,6.29,20.7,31.3,0.03,0.03,0,1350,472.81,953.93,1832.35,0.95,0.8,0.019,8235783.11870508,254.080249054431,32414.1020380563
"21",0.3,0.236363636363636,0.23,0.49,0.157,43.9194850126133,0.055,0.033,0.036,0,0.36,0.46,0.33,0.8672,0.84,0.17,5.79,11.7,24.3,5.79,11.7,24.3,0.03,0.03,0,1400,572.81,703.93,1732.35,0.8,0.85,0.013,8756247.47650626,157.633924214631,55547.9889251754
"22",0.8,0.2,0.29,0.61,0.176,39.7629724354162,0.055,0.027,0.048,0,0.32,0.2,0.1,0.296,0.2,0.12,6.29,12.7,37.3,6.29,12.7,37.3,0.03,0.03,0,2200,422.81,1303.93,1032.35,0.9,0.85,0.011,13303726.5254689,59.0506080795321,225293.641473611
"23",0.8,0.242857142857143,0.27,0.41,0.159,58.6124304631939,0.07,0.046,0.072,0,0.12,0.19,0.32,0.5775,0.35,0.35,6.29,9.7,37.3,6.29,9.7,37.3,0.06,0,0,1100,472.81,853.93,1482.35,0.85,0.75,0.017,7289437.74888499,61.4601465981596,118604.301362068
"24",1,0.223880597014925,0.63,0.31,0.099,32.3547403056062,0.067,0.042,0.092,0,0.42,0.27,0.36,0.6094,0.58,0.07,6.29,22.7,25.3,6.29,22.7,25.3,0.06,0,0,1650,522.81,1053.93,1782.35,0.75,0.8,0.015,12270986.444887,54.1797873587893,226486.426822351
"25",0.4,0.186440677966102,0.11,0.8,0.108,64.6991099768268,0.059,0.036,0.097,0,0.24,0.31,0.49,0.5155,0.43,0.15,5.79,21.7,25.8,5.79,21.7,25.8,0.03,0.03,0,1550,472.81,1253.93,1432.35,0.85,0.8,0.011,10893608.2679978,307.765360170051,35395.8231750926
"26",1,0.267605633802817,0.04,0.56,0.085,39.4440847099444,0.071,0.026,0.026,0,0.4,0.26,0.22,0.6431,0.57,0.17,6.29,23.2,25.8,6.29,23.2,25.8,0,0,0,1550,622.81,1253.93,1032.35,0.85,0.7,0.019,12174006.9696289,39.9198444325325,304961.282857799
"27",0.4,0.183673469387755,0.27,0.71,0.17,56.4706865981976,0.049,0.025,0.012,0,0.17,0.41,0.44,0.744,0.68,0.2,6.29,17.2,30.3,6.29,17.2,30.3,0.03,0.03,0,2100,572.81,1153.93,1232.35,0.9,0.7,0.009,12883201.1972129,376.909195702523,34181.180358839
"28",0.6,0.315789473684211,0.09,0.19,0.108,33.6134707563055,0.057,0.014,0.067,0,0.34,0.15,0.36,0.853,0.85,0.02,6.79,13.7,28.3,6.79,13.7,28.3,0.03,0.03,0,750,522.81,703.93,1582.35,0.85,0.75,0.018,5103137.68776342,92.3596342877559,55252.9005459688
"29",0.7,0.275,0.5,0.76,0.114,29.1946494473816,0.04,0.008,0.019,0,0.47,0.2,0.22,0.368,0.21,0.2,6.79,14.2,31.8,6.79,14.2,31.8,0.03,0.03,0,1500,472.81,1053.93,1982.35,0.8,0.65,0.011,10297389.0644726,242.395604842383,42481.7482609407
"30",0.9,0.179487179487179,0.31,0.53,0.128,83.8960901831791,0.078,0.008,0.039,0,0.36,0.17,0.24,0.6064,0.52,0.18,6.79,11.2,39.3,6.79,11.2,39.3,0,0.06,0,800,572.81,1203.93,1932.35,0.95,0.8,0.014,4884084.60136411,69.8208673901036,69951.6460326356
"31",1,0.115384615384615,0.84,0.24,0.14,52.5703780743846,0.078,0.007,0.056,0,0.35,0.47,0.45,0.4228,0.22,0.26,6.29,16.2,35.3,6.29,16.2,35.3,0,0.03,0,2050,472.81,1203.93,1782.35,0.8,0.65,0.009,12978678.7303015,50.0972834177896,259069.511256028
"32",1,0.372549019607843,0.85,0.13,0.149,47.6674046311115,0.051,0.026,0.07,0,0.27,0.26,0.37,0.6328,0.49,0.28,5.79,10.7,38.3,5.79,10.7,38.3,0.03,0.03,0,2200,522.81,1003.93,1482.35,0.8,0.8,0.019,13121934.0711625,107.432956042033,122140.677819835
"33",0.6,0.133333333333333,0.55,0.31,0.19,48.4275869471142,0.075,0.039,0.025,0,0.25,0.48,0.36,0.3917,0.23,0.21,6.79,22.7,21.8,6.79,22.7,21.8,0,0,0,2000,572.81,1003.93,1782.35,1,0.65,0.01,12487173.6032666,150.997670214936,82697.789876439
"34",0.7,0.207547169811321,0.26,0.88,0.055,43.3302830684376,0.053,0.005,0.078,0,0.46,0.46,0.42,0.3503,0.11,0.27,6.29,10.2,33.8,6.29,10.2,33.8,0.06,0.03,0,550,372.81,1003.93,1232.35,0.9,0.75,0.011,4340326.75327416,240.671547063644,18034.2329877756
