"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1",0.4,0.355263157894737,0.47,0.27,0.119,58.9286907931001,0.076,0.0608,0.012,0,0.28,0.28,0.2,0.9072,0.84,0.42,6.79,20.2,28.8,6.79,20.2,28.8,0.03,0.03,0,1100,622.81,1203.93,1232.35,0.85,0.8,0.027,6986305.39223104,150.766752673185,46338.5014823205
"2",0.9,0.391891891891892,0.04,0.37,0.081,42.2592205452564,0.074,0.0576,0.099,0,0.32,0.4,0.41,0.6105,0.59,0.05,6.79,15.2,40.3,6.79,15.2,40.3,0.03,0.03,0,1250,572.81,1003.93,1582.35,0.95,0.65,0.029,9041743.51924325,93.9676821138196,96221.8426149037
"3",0.7,0.325,0.29,0.46,0.08,56.9747602777131,0.08,0.0623,0.055,0,0.28,0.27,0.48,0.549,0.18,0.45,6.79,21.2,36.8,6.79,21.2,36.8,0.03,0.06,0,1250,622.81,853.93,1882.35,0.95,0.7,0.026,8395640.95694519,189.239644560087,44365.1274893376
"4",0.3,0.25974025974026,0.65,0.89,0.096,67.9600854610589,0.077,0.0643,0.098,0,0.46,0.21,0.45,0.6832,0.67,0.04,6.29,19.2,24.8,6.29,19.2,24.8,0.06,0.03,0,700,472.81,603.93,1032.35,0.9,0.85,0.02,4843263.73068051,328.426420698835,14746.8760898556
"5",0.6,0.275,0.54,0.68,0.107,59.6827610107255,0.08,0.0551,0.002,0,0.29,0.35,0.18,0.8812,0.88,0.01,5.79,9.7,38.8,5.79,9.7,38.8,0.03,0,0,2250,522.81,703.93,1782.35,0.95,0.8,0.022,16738839.5957901,254.95639966365,65653.7338065361
"6",0.4,0.361111111111111,0.18,0.48,0.095,89.9506190935636,0.072,0.0639,0.067,0,0.12,0.3,0.14,0.2088,0.14,0.08,6.29,13.7,29.8,6.29,13.7,29.8,0.06,0.06,0,2200,522.81,803.93,1632.35,0.95,0.8,0.026,14811598.5389155,196.082215763432,75537.6946412382
"7",0.8,0.315789473684211,0.63,0.51,0.084,35.3639752295934,0.076,0.0611,0.028,0,0.21,0.18,0.12,0.4135,0.31,0.15,5.79,14.2,33.3,5.79,14.2,33.3,0.03,0.06,0,1150,472.81,953.93,1882.35,0.9,0.65,0.024,7652525.2505333,152.796135257228,50083.238281194
"8",0.2,0.386666666666667,0.9,0.9,0.089,46.5964411382684,0.075,0.0579,0.041,0,0.17,0.3,0.42,0.7625,0.75,0.05,6.29,8.7,33.8,6.29,8.7,33.8,0.03,0.06,0,2250,522.81,1053.93,1832.35,0.85,0.75,0.029,14934663.6994449,590.048543968167,25310.9067925276
"9",0.9,0.358974358974359,0.21,0.78,0.107,64.4682428172269,0.078,0.0577,0.063,0,0.4,0.18,0.31,0.356,0.3,0.08,5.79,18.2,21.3,5.79,18.2,21.3,0,0.06,0,1100,572.81,1303.93,1582.35,0.8,0.7,0.028,6977617.15869433,103.191149226766,67618.3685420616
"10",0.5,0.25974025974026,0.02,0.12,0.097,33.3858738068257,0.077,0.0577,0.084,0,0.16,0.33,0.18,0.8115,0.71,0.35,6.79,12.7,20.8,6.79,12.7,20.8,0.06,0.06,0,2450,622.81,953.93,1732.35,0.8,0.85,0.02,16312328.3945265,40.5576158920094,402201.363067309
