"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1",0.8,0.0833333333333333,0.14,0.13,0.138,120.07428415046,0.132,0.08,0.092,0,0.36,0.1,0.42,0.7415,0.53,0.45,6.29,14.2,37.8,6.29,14.2,37.8,0.03,0.03,0,1800,372.81,1053.93,1382.35,0.85,0.7,0.011,11799016.515128,41.0512776207638,287421.42020837
"2",0.5,0.383177570093458,0.74,0.36,0.127,42.7100163635083,0.107,0.053,0.093,0,0.42,0.41,0.17,0.4825,0.25,0.31,6.29,15.2,24.8,6.29,15.2,24.8,0.03,0.03,0,1800,522.81,1003.93,1932.35,0.9,0.75,0.041,11122938.9092109,217.201539004705,51210.2214384858
"3",0.5,0.451612903225806,0.6,0.8,0.141,41.3942721759531,0.062,0.087,0.06,0,0.41,0.44,0.29,0.7518,0.66,0.27,6.29,15.2,29.3,6.29,15.2,29.3,0.03,0.03,0,1450,672.81,1053.93,2132.35,0.75,0.7,0.028,8858476.08284425,362.623800077744,24428.8325282154
"4",0.6,0.127118644067797,0.51,0.88,0.12,37.0949247968719,0.118,0.072,0.03,0,0.32,0.24,0.47,0.7745,0.59,0.45,6.79,13.2,34.3,6.79,13.2,34.3,0.03,0.03,0,2400,472.81,653.93,1332.35,0.8,0.8,0.015,16275525.805662,232.093373887544,70124.9050459663
"5",0.2,0.454545454545455,0.17,0.68,0.093,55.9123487400325,0.077,0.061,0.096,0,0.16,0.11,0.38,0.8174,0.78,0.17,6.29,19.7,23.8,6.29,19.7,23.8,0.06,0,0,1750,572.81,1053.93,1332.35,0.9,0.65,0.035,13254973.8221576,629.726248139213,21048.7872489433
"6",0.5,0.248322147651007,0.36,0.55,0.11,35.5327751569626,0.149,0.064,0.04,0,0.34,0.18,0.23,0.466,0.4,0.11,6.79,16.7,32.8,6.79,16.7,32.8,0.03,0.03,0,600,472.81,853.93,1882.35,0.9,0.7,0.037,3892846.3744892,303.311255503971,12834.4936228001
"7",0.4,0.24113475177305,0.61,0.66,0.13,82.7596969050537,0.141,0.071,0.058,0,0.17,0.18,0.46,0.5124,0.47,0.08,6.29,11.2,18.8,6.29,11.2,18.8,0.03,0.06,0,1700,472.81,1153.93,1982.35,0.75,0.7,0.034,10355879.2867298,322.45692876131,32115.5427688001
"8",1,0.319727891156463,0.45,0.7,0.112,106.020831159915,0.147,0.034,0.021,0,0.16,0.43,0.45,0.6568,0.56,0.22,6.79,24.2,38.8,6.79,24.2,38.8,0,0.03,0,500,522.81,703.93,1282.35,0.9,0.7,0.047,2708134.98562394,71.8603307188719,37686.0913181511
"9",0.1,0.325757575757576,0.41,0.83,0.087,56.9007333457147,0.132,0.058,0.036,0,0.33,0.45,0.39,0.7588,0.64,0.33,6.79,10.7,18.8,6.79,10.7,18.8,0.03,0.06,0,1600,422.81,953.93,1782.35,0.85,0.75,0.043,10623272.4682228,659.208557917133,16115.1919838369
"10",0.8,0.121428571428571,0.83,0.43,0.075,84.9004400493123,0.14,0.054,0.026,0,0.27,0.21,0.35,0.8551,0.79,0.31,5.79,18.2,39.3,5.79,18.2,39.3,0.06,0,0,650,472.81,853.93,1532.35,0.85,0.7,0.017,4364506.06607701,196.012203418559,22266.5017277376
"11",0.8,0.409090909090909,0.29,0.07,0.09,67.7513581341044,0.11,0.042,0.026,0,0.26,0.41,0.34,0.6178,0.61,0.02,6.29,13.7,20.3,6.29,13.7,20.3,0.06,0.03,0,2100,522.81,703.93,1732.35,1,0.7,0.045,14859062.3852968,82.7047290256055,179663.999391092
"12",0.8,0.278688524590164,0.55,0.61,0.145,32.8275440656547,0.061,0.065,0.024,0,0.25,0.4,0.12,0.6767,0.39,0.47,5.79,15.7,30.3,5.79,15.7,30.3,0.03,0.06,0,1500,522.81,953.93,1032.35,0.8,0.85,0.017,8843826.73926947,79.9388421688936,110632.409718724
"13",0.4,0.258333333333333,0.05,0.61,0.128,79.5832116166871,0.12,0.063,0.088,0,0.13,0.47,0.36,0.5665,0.15,0.49,5.79,14.2,23.8,5.79,14.2,23.8,0,0,0,550,472.81,853.93,1532.35,0.85,0.85,0.031,3758655.27284026,191.971918449735,19579.193161131
"14",0.5,0.311111111111111,0.09,0.61,0.137,103.240219455185,0.09,0.08,0.046,0,0.48,0.32,0.24,0.7635,0.57,0.45,5.79,22.2,34.3,5.79,22.2,34.3,0.06,0.03,0,1100,672.81,703.93,2032.35,0.85,0.7,0.028,6894991.24553161,298.528525514173,23096.5909661597
"15",0.2,0.0939597315436242,0.57,0.78,0.095,128.523974739646,0.149,0.043,0.051,0,0.24,0.26,0.11,0.7675,0.75,0.07,5.79,13.2,32.3,5.79,13.2,32.3,0.06,0.03,0,1850,422.81,903.93,1932.35,0.75,0.65,0.014,13364140.6341812,588.142049854616,22722.6409631563
"16",0.1,0.180451127819549,0.13,0.41,0.092,47.3865744916502,0.133,0.039,0.057,0,0.13,0.27,0.15,0.5996,0.56,0.09,6.29,24.7,29.8,6.29,24.7,29.8,0,0.03,0,1600,472.81,1103.93,1582.35,0.75,0.75,0.024,11543806.1091798,292.227143032925,39502.8538053332
"17",0.8,0.357142857142857,0.67,0.3,0.066,63.7871229724293,0.098,0.089,0.097,0,0.24,0.37,0.3,0.1755,0.15,0.03,6.79,22.7,30.8,6.79,22.7,30.8,0.06,0.03,0,850,572.81,803.93,1182.35,0.95,0.85,0.035,6123272.88737208,52.9671005310688,115605.212027424
"18",0.1,0.11864406779661,0.52,0.2,0.101,53.7002843257612,0.118,0.076,0.083,0,0.48,0.44,0.2,0.303,0.18,0.15,6.79,14.7,39.3,6.79,14.7,39.3,0.03,0.03,0,1600,522.81,653.93,1732.35,0.85,0.8,0.014,11340743.1383153,120.404234498364,94188.90610919
"19",0.8,0.445783132530121,0.35,0.73,0.147,98.6228739007692,0.083,0.054,0.086,0,0.33,0.43,0.42,0.8089,0.79,0.09,6.29,15.7,21.8,6.29,15.7,21.8,0.03,0,0,700,472.81,1203.93,1382.35,1,0.75,0.037,4282781.59595506,214.676498198982,19949.9322556742
"20",0.4,0.395604395604396,0.9,0.06,0.109,46.1471299313896,0.091,0.072,0.057,0,0.16,0.18,0.33,0.4956,0.48,0.03,5.79,13.2,33.3,5.79,13.2,33.3,0,0.03,0,1000,522.81,1103.93,1932.35,0.95,0.7,0.036,5894680.33033277,114.493160116953,51484.9998402652
"21",0.4,0.121951219512195,0.2,0.09,0.142,57.2614798680539,0.123,0.04,0.015,0,0.21,0.38,0.38,0.5464,0.46,0.16,6.79,18.2,31.8,6.79,18.2,31.8,0.03,0.03,0,2150,572.81,1003.93,1682.35,0.9,0.75,0.015,13952133.1179218,51.9991188643976,268314.798839302
"22",0,0.401869158878505,0.35,0.01,0.115,37.8533791454873,0.107,0.039,0.044,0,0.3,0.18,0.32,0.5102,0.21,0.38,5.79,15.2,21.8,5.79,15.2,21.8,0,0,0,1300,422.81,753.93,1682.35,0.95,0.65,0.043,9382505.61702441,45.8880451656041,204465.140826203
"23",0.2,0.169230769230769,0.36,0.8,0.112,96.4901110531283,0.065,0.042,0.09,0,0.43,0.23,0.11,0.64,0.55,0.2,5.79,19.2,38.3,5.79,19.2,38.3,0.03,0.03,0,1950,572.81,853.93,1582.35,0.8,0.85,0.011,13548977.6187142,293.782902544025,46119.0133986231
"24",0.7,0.318840579710145,0.37,0.04,0.14,55.3833045117712,0.138,0.036,0.06,0,0.3,0.49,0.45,0.9025,0.85,0.35,5.79,16.2,30.3,5.79,16.2,30.3,0.03,0,0,1800,422.81,703.93,1732.35,1,0.75,0.044,12132813.2676398,121.360563832607,99973.2770224655
"25",0.1,0.325581395348837,0.5,0.42,0.077,50.8965185285223,0.086,0.048,0.038,0,0.13,0.32,0.42,0.368,0.2,0.21,5.79,15.7,21.8,5.79,15.7,21.8,0,0.03,0,1050,572.81,1303.93,1682.35,0.95,0.7,0.028,7872591.65119375,456.662452811328,17239.4108662276
"26",0.6,0.271428571428572,0.42,0.48,0.087,74.2108293025795,0.07,0.06,0.047,0,0.31,0.41,0.47,0.8488,0.72,0.46,5.79,17.7,26.3,5.79,17.7,26.3,0,0.06,0,1750,572.81,953.93,1582.35,0.95,0.65,0.019,11763752.8822247,317.752819326441,37021.7104828875
"27",0,0.314285714285714,0.59,0.63,0.062,41.0078787142241,0.105,0.044,0.072,0,0.14,0.45,0.13,0.9318,0.89,0.38,6.79,15.7,28.3,6.79,15.7,28.3,0,0.03,0,900,622.81,853.93,1482.35,0.95,0.8,0.033,6577949.72535566,557.848007882268,11791.6522644353
"28",0.9,0.259541984732824,0.14,0.05,0.115,86.1885215473809,0.131,0.04,0.03,0,0.33,0.36,0.36,0.3115,0.19,0.15,5.79,11.7,26.8,5.79,11.7,26.8,0.03,0.03,0,2300,422.81,803.93,1582.35,0.85,0.75,0.034,15635735.8477924,28.9910039898527,539330.609359551
"29",0.7,0.223076923076923,0.03,0.48,0.067,34.7902498265378,0.13,0.035,0.096,0,0.28,0.23,0.15,0.1634,0.11,0.06,6.79,12.2,30.8,6.79,12.2,30.8,0.06,0.06,0,1050,522.81,1153.93,1732.35,0.85,0.75,0.029,7433174.13930164,121.692333205681,61081.6963032363
"30",0.9,0.206896551724138,0.65,0.24,0.143,80.5001774836643,0.145,0.081,0.032,0,0.2,0.21,0.36,0.8,0.75,0.2,6.29,12.2,30.8,6.29,12.2,30.8,0,0.06,0,500,522.81,1103.93,1782.35,0.9,0.75,0.03,2239337.41617341,105.56216276956,21213.4476731196
"31",0.8,0.434343434343434,0.41,0.49,0.069,80.5489233777186,0.099,0.08,0.048,0,0.38,0.39,0.38,0.5996,0.56,0.09,5.79,9.2,21.3,5.79,9.2,21.3,0.06,0.06,0,1800,472.81,1103.93,1032.35,0.75,0.65,0.043,12250507.8119062,173.859882463316,70461.9584365071
"32",0.2,0.75,0.81,0.04,0.105,84.4240922729693,0.064,0.075,0.053,0,0.11,0.24,0.14,0.823,0.7,0.41,6.29,16.7,38.3,6.29,16.7,38.3,0.03,0.03,0,2200,622.81,703.93,1332.35,0.85,0.85,0.048,14489643.633444,65.2278211942489,222139.010136391
"33",0.2,0.111111111111111,0.89,0.27,0.145,48.3848823507059,0.099,0.083,0.055,0,0.16,0.37,0.15,0.6926,0.42,0.47,5.79,22.2,27.3,5.79,22.2,27.3,0,0,0,1250,472.81,1003.93,1332.35,0.95,0.7,0.011,8474368.34313606,236.066342972201,35898.2489262944
"34",0.2,0.0916666666666667,0.11,0.33,0.131,38.7320558283179,0.12,0.071,0.012,0,0.14,0.47,0.14,0.8208,0.68,0.44,6.29,15.2,21.8,6.29,15.2,21.8,0.03,0.06,0,1850,422.81,1053.93,1132.35,0.9,0.85,0.011,11517352.8926837,133.579471488226,86220.9796487987
"35",0.9,0.28695652173913,0.77,0.51,0.137,46.3053888718557,0.115,0.064,0.003,0,0.42,0.21,0.46,0.8597,0.77,0.39,6.79,22.7,32.3,6.79,22.7,32.3,0.03,0.03,0,2300,422.81,1053.93,1632.35,0.8,0.8,0.033,13643042.0187853,262.690534691961,51935.7959919778
"36",0.3,0.144578313253012,0.45,0.23,0.079,71.3369872962275,0.083,0.08,0.008,0,0.28,0.21,0.45,0.7875,0.75,0.15,6.29,8.2,25.8,6.29,8.2,25.8,0,0.06,0,2350,672.81,953.93,2032.35,0.95,0.65,0.012,16369067.8883469,246.796606694324,66326.1464879911
"37",0,0.246031746031746,0.08,0.08,0.08,58.1335119028445,0.126,0.039,0.043,0,0.27,0.24,0.5,0.5398,0.41,0.22,6.29,15.7,31.8,6.29,15.7,31.8,0.06,0.03,0,2000,522.81,1203.93,1732.35,0.8,0.75,0.031,14774785.992287,78.8737556475976,187321.95355702
"38",1,0.541666666666667,0.2,0.52,0.076,35.6806391763318,0.072,0.061,0.009,0,0.43,0.39,0.31,0.7348,0.66,0.22,6.29,24.7,26.8,6.29,24.7,26.8,0.03,0.06,0,1150,622.81,1053.93,1382.35,0.9,0.7,0.039,7442484.69419714,115.213021977734,64597.5998757805
"39",0.3,0.385416666666667,0.88,0.76,0.075,51.19981363223,0.096,0.033,0.068,0,0.44,0.26,0.18,0.8432,0.84,0.02,6.79,8.7,28.3,6.79,8.7,28.3,0.03,0,0,1400,472.81,1253.93,1682.35,1,0.8,0.037,10126780.0144722,629.880866962123,16077.2942085271
"40",0.5,0.435643564356436,0.2,0.3,0.097,81.1228596905605,0.101,0.087,0.098,0,0.23,0.31,0.25,0.7894,0.73,0.22,6.29,19.7,34.8,6.29,19.7,34.8,0.06,0.03,0,2150,522.81,1153.93,1982.35,0.85,0.8,0.044,14823624.4304691,140.586678345856,105441.174120364
"41",0,0.403361344537815,0.88,0.77,0.08,39.8802704393056,0.119,0.052,0.025,0,0.34,0.21,0.13,0.8309,0.81,0.11,6.29,18.7,29.8,6.29,18.7,29.8,0.03,0,0,1750,622.81,653.93,982.35,0.85,0.65,0.048,13769664.1444519,854.497784751586,16114.3356836846
"42",0.8,0.558823529411765,0.87,0.26,0.062,74.6213106891972,0.068,0.059,0.013,0,0.28,0.29,0.13,0.7424,0.54,0.44,6.29,7.7,34.3,6.29,7.7,34.3,0,0,0,1450,422.81,1053.93,1082.35,0.8,0.8,0.038,10057416.1825625,358.442288201709,28058.6764274388
"43",0.7,0.159420289855072,0.82,0.06,0.083,40.8479882305413,0.069,0.074,0.042,0,0.22,0.43,0.25,0.5784,0.38,0.32,5.79,9.7,29.8,5.79,9.7,29.8,0.03,0.03,0,1450,672.81,1303.93,1232.35,1,0.8,0.011,10355014.3102234,62.2817882834147,166260.709520778
"44",0.7,0.207547169811321,0.82,0.38,0.142,41.9705268518038,0.106,0.056,0.091,0,0.45,0.28,0.48,0.5665,0.49,0.15,5.79,13.2,34.3,5.79,13.2,34.3,0.06,0.06,0,550,472.81,903.93,1382.35,0.9,0.8,0.022,2803484.87312263,166.293754697258,16858.6299481087
"45",0.8,0.363636363636364,0.26,0.59,0.128,141.749219341967,0.099,0.041,0.054,0,0.43,0.41,0.2,0.6656,0.56,0.24,6.79,22.2,26.8,6.79,22.2,26.8,0.03,0.06,0,2400,472.81,1003.93,1632.35,0.85,0.7,0.036,14596889.48913,179.157985301722,81474.9589003653
"46",0.9,0.423913043478261,0.48,0.77,0.124,38.9282675007458,0.092,0.059,0.03,0,0.45,0.38,0.36,0.7657,0.67,0.29,5.79,11.7,39.8,5.79,11.7,39.8,0.03,0.03,0,1700,472.81,703.93,1232.35,0.9,0.8,0.039,10906953.5174731,198.210532122469,55027.1138505093
"47",0.9,0.209302325581395,0.29,0.01,0.09,52.6743782491636,0.129,0.084,0.096,0,0.15,0.23,0.1,0.5515,0.31,0.35,6.79,9.2,23.8,6.79,9.2,23.8,0.03,0.06,0,850,572.81,853.93,1782.35,0.9,0.8,0.027,5505001.37303607,24.0270551950093,229116.773918242
"48",0.8,0.368421052631579,0.66,0.78,0.095,54.750283807982,0.133,0.067,0.062,0,0.15,0.19,0.5,0.296,0.12,0.2,5.79,8.2,25.8,5.79,8.2,25.8,0.06,0.06,0,1900,572.81,1003.93,1682.35,0.75,0.8,0.049,12193401.5865961,101.078003509815,120633.58162206
"49",0.8,0.506329113924051,0.28,0.46,0.063,54.5143738464687,0.079,0.062,0.084,0,0.14,0.17,0.41,0.2628,0.24,0.03,6.29,22.2,29.8,6.29,22.2,29.8,0,0.03,0,750,422.81,903.93,1282.35,0.9,0.85,0.04,5655099.75383224,69.2760076171703,81631.4327044245
"50",0.2,0.590909090909091,0.75,0.57,0.068,66.7566075327595,0.066,0.047,0.057,0,0.34,0.46,0.36,0.5303,0.23,0.39,6.29,14.7,31.3,6.29,14.7,31.3,0.06,0,0,1450,522.81,1253.93,1832.35,0.75,0.8,0.039,11514417.8070749,260.567298156014,44189.8038954245
"51",0.9,0.211382113821138,0.83,0.68,0.089,46.291150744751,0.123,0.078,0.054,0,0.1,0.34,0.13,0.7844,0.72,0.23,6.29,19.2,27.8,6.29,19.2,27.8,0,0.06,0,1600,672.81,903.93,1432.35,0.95,0.8,0.026,9057177.21942273,157.773903178828,57406.0540871382
"52",0.7,0.333333333333333,0.35,0.62,0.147,46.3456149397127,0.135,0.032,0.08,0,0.28,0.32,0.29,0.648,0.6,0.12,5.79,7.7,37.8,5.79,7.7,37.8,0.06,0.06,0,2450,572.81,653.93,1432.35,0.8,0.8,0.045,14288346.3036052,143.358031137292,99668.9630169479
"53",0.3,0.442477876106195,0.43,0.02,0.083,62.766818398625,0.113,0.043,0.012,0,0.44,0.12,0.41,0.8545,0.85,0.03,6.79,21.2,24.8,6.79,21.2,24.8,0,0.03,0,600,472.81,953.93,1482.35,0.85,0.7,0.05,3743763.53283653,150.745233155716,24835.037595977
"54",0.1,0.157894736842105,0.12,0.74,0.063,40.319302397429,0.076,0.047,0.06,0,0.13,0.41,0.46,0.5464,0.28,0.37,6.29,16.2,22.3,6.29,16.2,22.3,0.03,0,0,2200,672.81,1153.93,1432.35,0.9,0.75,0.012,18541678.6872142,615.205775856128,30138.9866852459
"55",0.3,0.100671140939597,0.39,0.07,0.125,41.5164102734808,0.149,0.078,0.033,0,0.18,0.47,0.42,0.622,0.55,0.16,6.29,18.2,19.8,6.29,18.2,19.8,0.03,0.06,0,2250,572.81,1153.93,1282.35,1,0.8,0.015,14114364.6502424,49.0096110673085,287991.770243965
"56",0.2,0.0909090909090909,0.84,0.82,0.123,60.7856132184569,0.121,0.068,0.06,0,0.24,0.11,0.35,0.5712,0.33,0.36,6.79,16.2,25.3,6.79,16.2,25.3,0.03,0.06,0,800,622.81,1103.93,1282.35,0.8,0.8,0.011,5107105.61619537,365.470496577397,13974.0571784126
"57",0.5,0.466019417475728,0.83,0.3,0.138,39.0439228438144,0.103,0.063,0.029,0,0.21,0.22,0.25,0.4266,0.39,0.06,6.29,10.2,39.8,6.29,10.2,39.8,0.03,0,0,1700,422.81,903.93,2082.35,0.95,0.8,0.048,10972616.7010672,150.824772489451,72750.7591754176
"58",0.7,0.442622950819672,0.83,0.49,0.131,119.723485803844,0.061,0.068,0.05,0,0.22,0.42,0.47,0.896,0.87,0.2,6.79,17.2,22.3,6.79,17.2,22.3,0.03,0,0,1850,422.81,903.93,1482.35,0.8,0.8,0.027,11920509.5679701,210.667369543417,56584.5085254808
"59",0,0.131868131868132,0.14,0.25,0.089,43.898703131633,0.091,0.06,0.039,0,0.33,0.49,0.21,0.4606,0.38,0.13,6.29,12.7,36.3,6.29,12.7,36.3,0.03,0.06,0,2250,422.81,1203.93,1532.35,0.85,0.65,0.012,15382280.8195894,292.614506201189,52568.4150771843
"60",0.8,0.173913043478261,0.34,0.08,0.092,48.5665677145693,0.092,0.056,0.049,0,0.36,0.35,0.4,0.4372,0.16,0.33,6.29,16.7,26.3,6.29,16.7,26.3,0,0.06,0,2150,372.81,1053.93,1482.35,0.95,0.85,0.016,14476928.4063473,38.7746278442719,373360.860212252
"61",0.2,0.445544554455446,0.23,0.07,0.106,44.8476627573683,0.101,0.053,0.012,0,0.48,0.38,0.44,0.63,0.63,0,6.29,8.7,33.3,6.29,8.7,33.3,0.06,0.03,0,1150,422.81,853.93,1232.35,0.95,0.8,0.045,7752530.60581413,113.942614945546,68038.9037018251
"62",0.4,0.223404255319149,0.84,0.64,0.133,77.7330263827454,0.094,0.058,0.031,0,0.49,0.17,0.22,0.6462,0.42,0.39,6.29,19.7,28.3,6.29,19.7,28.3,0.03,0.03,0,850,372.81,653.93,1882.35,1,0.8,0.021,5232514.02458982,334.910119273676,15623.6366817988
"63",0.9,0.338129496402878,0.51,0.37,0.098,44.0544453936932,0.139,0.056,0.045,0,0.24,0.26,0.2,0.7403,0.51,0.47,6.79,21.2,22.3,6.79,21.2,22.3,0,0,0,1600,572.81,1203.93,1682.35,1,0.85,0.047,11066928.4731081,158.911339403677,69642.157159063
"64",0.2,0.52,0.12,0.7,0.118,51.7537714232808,0.075,0.06,0.006,0,0.47,0.11,0.43,0.7158,0.71,0.02,6.79,21.2,19.3,6.79,21.2,19.3,0.06,0.06,0,900,422.81,653.93,1532.35,0.8,0.7,0.039,5447456.15671046,498.589726772879,10925.7288391582
"65",0.8,0.345794392523364,0.21,0.07,0.07,61.5776325652147,0.107,0.062,0.014,0,0.33,0.43,0.49,0.5456,0.29,0.36,6.29,9.2,35.8,6.29,9.2,35.8,0.06,0.06,0,1000,672.81,703.93,1632.35,0.85,0.8,0.037,6722009.98644129,61.529888815267,109247.881247161
"66",0.3,0.460674157303371,0.52,0.39,0.101,89.9506190935636,0.089,0.054,0.096,0,0.15,0.11,0.31,0.466,0.11,0.4,6.79,8.7,38.3,6.79,8.7,38.3,0.03,0.06,0,1000,572.81,1203.93,1432.35,0.8,0.65,0.041,6360145.00623896,296.221167951854,21470.9335265085
"67",0.7,0.682539682539683,0,0.27,0.094,110.8063145888,0.063,0.082,0.022,0,0.34,0.22,0.44,0.4048,0.36,0.07,6.79,15.2,35.8,6.79,15.2,35.8,0.03,0.03,0,2100,672.81,1153.93,1032.35,1,0.8,0.043,14756347.3754982,103.868639940616,142067.397666272
"68",0.9,0.166666666666667,0.11,0.24,0.087,44.7075942362008,0.132,0.04,0.057,0,0.3,0.37,0.39,0.685,0.58,0.25,5.79,12.2,26.8,5.79,12.2,26.8,0.03,0.06,0,700,622.81,1103.93,1032.35,1,0.7,0.022,4594891.65011831,69.0919242949608,66504.0335322291
"69",0.9,0.163265306122449,0.7,0.86,0.124,56.3846371003335,0.098,0.038,0.039,0,0.11,0.3,0.35,0.6366,0.54,0.21,6.29,14.2,35.8,6.29,14.2,35.8,0.03,0,0,1450,672.81,1103.93,1632.35,0.8,0.7,0.016,10068238.2500878,93.7137439530752,107436.090218839
"70",0.8,0.139130434782609,0.63,0.68,0.112,55.8166641967544,0.115,0.059,0.099,0,0.36,0.43,0.43,0.7699,0.61,0.41,6.29,20.7,29.3,6.29,20.7,29.3,0,0.03,0,1750,622.81,853.93,1682.35,0.85,0.7,0.016,11737819.6581893,203.94205097642,57554.6808615082
"71",0.3,0.116666666666667,0.47,0.3,0.083,37.1063628669026,0.12,0.09,0.076,0,0.12,0.24,0.39,0.7984,0.76,0.16,6.29,12.7,41.3,6.29,12.7,41.3,0.03,0.03,0,1700,472.81,753.93,1182.35,0.8,0.75,0.014,12578260.2761878,173.582526729542,72462.709888916
"72",0.4,0.397727272727273,0.7,0.55,0.097,96.5264605222873,0.088,0.053,0.054,0,0.26,0.27,0.19,0.7084,0.64,0.19,5.79,8.7,21.8,5.79,8.7,21.8,0.03,0,0,1250,472.81,1203.93,1432.35,0.95,0.8,0.035,9140719.53380907,302.142423508613,30253.015871333
