"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1",0.3,0.257142857142857,0.43,0.37,0.078,82.0001566016098,0.035,0.0011,0.054,0,0.15,0.48,0.11,0.4912,0.47,0.04,6.79,21.7,33.8,6.79,21.7,33.8,0,0.03,0,700,372.81,1303.93,1932.35,0.9,0.75,0.009,5273456.71997377,250.495336207793,21052.1153799019
"2",0.1,0.225,0.43,0.21,0.077,65.4599519745335,0.04,0.0015,0.069,0,0.34,0.36,0.47,0.8597,0.77,0.39,6.79,9.2,20.3,6.79,9.2,20.3,0.03,0.03,0,1350,472.81,1203.93,1582.35,0.95,0.8,0.009,10190675.0458495,160.546900840233,63474.7540595049
"3",0.1,0.333333333333333,0.74,0.74,0.079,106.816028884527,0.03,0.0012,0.061,0,0.29,0.27,0.11,0.3568,0.33,0.04,6.79,8.7,36.8,6.79,8.7,36.8,0,0,0,2450,472.81,703.93,1232.35,0.9,0.75,0.01,19842532.1167597,608.407650976015,32613.8767073821
"4",1,0.228571428571429,0.83,0.67,0.078,44.4906618014399,0.035,0.0017,0.01,0,0.48,0.45,0.15,0.6997,0.61,0.23,6.29,22.2,30.8,6.29,22.2,30.8,0.06,0,0,550,522.81,953.93,1482.35,0.85,0.75,0.008,4026441.34331494,99.2431875500342,40571.4633186785
"5",0.3,0.16,0.54,0.42,0.071,73.9540697568299,0.05,0.0011,0.086,0,0.24,0.19,0.36,0.2702,0.11,0.18,6.29,12.7,26.8,6.29,12.7,26.8,0.06,0.03,0,2350,372.81,853.93,1932.35,0.95,0.8,0.008,18084064.4899373,208.662298968283,86666.6598583106
"6",0.7,0.2,0.44,0.28,0.072,52.7380801670368,0.04,0.0013,0.02,0,0.18,0.2,0.14,0.3138,0.27,0.06,5.79,22.2,20.8,5.79,22.2,20.8,0.06,0.03,0,600,522.81,1103.93,1382.35,0.9,0.75,0.008,4575411.26032121,74.3321514937402,61553.5965040179
"7",0.5,0.285714285714286,0.71,0.48,0.073,49.3407912679655,0.035,0.0013,0.02,0,0.27,0.43,0.42,0.8368,0.68,0.49,6.79,20.2,26.8,6.79,20.2,26.8,0,0.03,0,950,572.81,753.93,1482.35,0.95,0.7,0.01,7037879.73976546,328.762489053368,21407.1859597796
"8",0.7,0.228571428571429,0.8,0.23,0.076,51.8774969637389,0.035,0.0018,0.087,0,0.21,0.17,0.25,0.3008,0.24,0.08,5.79,12.7,21.8,5.79,12.7,21.8,0.03,0.06,0,1150,572.81,603.93,1632.35,0.85,0.7,0.008,7999777.01431576,79.4271473513259,100718.422870341
"9",0.9,0.3,0.71,0.35,0.074,56.4706865981976,0.03,0.0014,0.009,0,0.44,0.48,0.29,0.3769,0.33,0.07,5.79,17.7,27.3,5.79,17.7,27.3,0.06,0.03,0,1100,572.81,1253.93,1282.35,0.8,0.75,0.009,8171230.99333844,52.8017466245255,154753.043520402
"10",0.3,0.257142857142857,0.14,0.79,0.071,33.7053763293125,0.035,0.0017,0.081,0,0.26,0.22,0.16,0.433,0.19,0.3,5.79,10.7,40.8,5.79,10.7,40.8,0.06,0,0,2500,622.81,1253.93,1182.35,0.9,0.8,0.009,20713139.039128,375.843905961619,55111.0147339818
"11",0.2,0.2,0.88,0.41,0.075,42.6052760471445,0.04,0.0019,0.029,0,0.45,0.28,0.19,0.6846,0.62,0.17,6.29,24.2,26.8,6.29,24.2,26.8,0.06,0,0,2250,472.81,1003.93,1582.35,0.95,0.75,0.008,18239918.3769336,304.301061686961,59940.3704864405
"12",0,0.175,0.86,0.35,0.075,42.0049247168686,0.04,0.0013,0.041,0,0.14,0.48,0.12,0.5128,0.13,0.44,6.79,12.2,27.8,6.79,12.2,27.8,0.03,0.03,0,2000,572.81,1203.93,1432.35,0.85,0.75,0.007,15338558.5166328,291.027597888422,52704.8246555419
"13",0.8,0.177777777777778,0.02,0.69,0.07,74.8388086960211,0.045,0.0018,0.044,0,0.19,0.14,0.27,0.6404,0.42,0.38,6.29,10.7,23.8,6.29,10.7,23.8,0,0.03,0,1850,622.81,903.93,1632.35,0.75,0.8,0.008,14259006.7710835,96.0664185020205,148428.628790648
