"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1",0.3,0.24390243902439,0.15,0.05,0.032,28.6145418405316,0.082,0.161,0.014,0,0.26,0.35,0.4,0.8487,0.83,0.11,6.29,21.2,33.3,6.29,21.2,33.3,0.03,0.06,0,2000,522.81,1203.93,1282.35,1,0.65,0.02,15256429.6497757,90.7363011094144,168140.30837976
"2",0.9,0.325301204819277,0.22,0.32,0.034,50.9747383967675,0.083,0.235,0.087,0,0.42,0.21,0.43,0.3826,0.37,0.02,6.29,20.7,34.8,6.29,20.7,34.8,0.03,0.06,0,2100,572.81,1303.93,1832.35,1,0.7,0.027,15701467.2932665,86.4562301724272,181611.750384578
"3",0.4,0.329113924050633,0.18,0.08,0.033,70.3447669167766,0.079,0.166,0.087,0,0.17,0.35,0.47,0.58,0.44,0.25,6.79,10.2,22.8,6.79,10.2,22.8,0.06,0,0,550,522.81,1103.93,1832.35,0.85,0.85,0.026,4630086.18985055,47.7278767493594,97010.1019612756
"4",0.1,0.337349397590361,0.4,0.71,0.035,72.9992830569084,0.083,0.17,0.052,0,0.3,0.49,0.21,0.8398,0.82,0.11,6.79,12.7,33.8,6.79,12.7,33.8,0.03,0.06,0,750,472.81,703.93,1832.35,1,0.8,0.028,5427026.12025938,615.190910346547,8821.69425618178
"5",0.5,0.280487804878049,0.07,0.85,0.031,41.3942721759531,0.082,0.225,0.07,0,0.42,0.16,0.24,0.5768,0.54,0.08,5.79,17.7,33.8,5.79,17.7,33.8,0,0,0,950,522.81,803.93,1182.35,1,0.85,0.023,8321080.2087519,348.437198820023,23881.1476987277
"6",0.4,0.2875,0.4,0.06,0.028,53.2634891492865,0.08,0.178,0.012,0,0.25,0.35,0.25,0.8434,0.71,0.46,6.29,8.7,26.8,6.29,8.7,26.8,0.03,0.03,0,1050,622.81,1053.93,1332.35,0.9,0.7,0.023,8497746.04202319,92.1268609327303,92239.6134633103
"7",0.2,0.371794871794872,0.5,0.27,0.034,83.1186321673557,0.078,0.218,0.01,0,0.17,0.5,0.17,0.8183,0.77,0.21,6.79,21.7,25.3,6.79,21.7,25.3,0,0.03,0,1400,522.81,753.93,2032.35,0.9,0.75,0.029,11083912.6571703,278.977518955798,39730.4868817278
"8",0.4,0.301204819277108,0.66,0.87,0.033,58.1335119028445,0.083,0.154,0.048,0,0.4,0.24,0.33,0.6714,0.47,0.38,5.79,17.2,32.8,5.79,17.2,32.8,0.03,0.03,0,650,622.81,653.93,1432.35,0.75,0.75,0.025,4973312.29134911,469.483471806137,10593.1573527316
"9",0.9,0.308641975308642,0.77,0.24,0.03,100.613271570623,0.081,0.232,0.001,0,0.27,0.1,0.12,0.72,0.65,0.2,6.29,24.7,21.8,6.29,24.7,21.8,0,0.03,0,550,472.81,1303.93,1082.35,0.75,0.65,0.025,1865125.456552,157.411635320779,11848.714059486
"10",0.7,0.261904761904762,0.63,0.33,0.027,95.0612568453005,0.084,0.175,0.032,0,0.35,0.14,0.12,0.4305,0.33,0.15,5.79,8.7,37.8,5.79,8.7,37.8,0,0.03,0,2200,522.81,603.93,1282.35,0.8,0.75,0.022,18265195.6556398,139.995373674927,130469.99465891
