"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1",0.1,0.2,0.3,0.37,0.115,71.733860870071,0.06,0.016,0.016,0,0.45,0.19,0.48,0.3118,0.26,0.07,6.29,20.7,28.8,6.29,20.7,28.8,0.06,0.06,140,2400,522.81,653.93,1182.35,0.95,0.7,0.012,7460410.73864715,324.653326215078,22979.6220652449
"2",0.7,1.03333333333333,0.83,0.85,0.042,43.1174179703744,0.03,0.042,0.029,0,0.22,0.27,0.45,0.4327,0.39,0.07,6.29,17.2,35.8,6.29,17.2,35.8,0,0,60,500,672.81,903.93,1482.35,0.85,0.85,0.031,263471.251391739,201.136212662605,1309.91454946851
"3",0.6,1.2,0.61,0.45,0.162,57.1247224357076,0.02,0.083,0.076,0,0.12,0.15,0.17,0.3196,0.16,0.19,6.29,18.7,33.8,6.29,18.7,33.8,0.03,0,70,1050,422.81,1153.93,1132.35,0.8,0.7,0.024,4624342.8073594,146.126831404862,31646.0896530843
"4",0.9,0.4,0.28,0.01,0.046,52.578858827666,0.03,0.051,0.064,0,0.42,0.41,0.26,0.9028,0.82,0.46,5.79,20.2,39.8,5.79,20.2,39.8,0.03,0,0,2300,572.81,953.93,1232.35,0.8,0.8,0.012,20112478.8041746,46.8085562503875,429675.264850923
"5",0.7,0.7,0.79,0.6,0.092,55.7737646778405,0.06,0.025,0.003,0,0.23,0.49,0.37,0.3065,0.27,0.05,5.79,14.7,34.8,5.79,14.7,34.8,0.03,0,30,650,672.81,803.93,1732.35,0.8,0.8,0.042,3412210.44766541,137.627196162769,24793.1407657964
"6",0.2,1.06666666666667,0.89,0.67,0.098,54.750283807982,0.03,0.005,0.07,0,0.35,0.24,0.44,0.6865,0.67,0.05,6.29,8.2,32.8,6.29,8.2,32.8,0.06,0,50,1000,522.81,853.93,1682.35,0.95,0.7,0.032,2040839.86257085,533.792344639062,3823.28424726814
"7",1,0.76,0.37,0.36,0.098,34.6364585564026,0.05,0.022,0.016,0,0.14,0.15,0.24,0.6696,0.44,0.41,6.79,16.2,39.8,6.79,16.2,39.8,0.03,0,60,950,672.81,1103.93,1232.35,0.9,0.65,0.038,6639653.69845675,39.9643487884391,166139.419251027
"8",0.2,0.442857142857143,0.37,0.03,0.044,33.9504417402999,0.07,0.067,0.037,0,0.13,0.11,0.35,0.7188,0.63,0.24,5.79,22.2,37.3,5.79,22.2,37.3,0.06,0.03,50,1000,572.81,653.93,1982.35,0.85,0.7,0.031,7620185.4471116,42.164015905606,180727.221623556
"9",0.3,0.5875,0.38,0.56,0.08,49.5642963288577,0.08,0.091,0.025,0,0.3,0.18,0.4,0.6277,0.49,0.27,6.29,20.2,20.8,6.29,20.2,20.8,0.06,0,130,1500,622.81,953.93,1832.35,0.9,0.75,0.047,928063.704211611,367.258608717128,2527.00326740721
"10",0.9,0.5875,0.27,0.06,0.083,37.2514065385073,0.08,0.063,0.098,0,0.31,0.43,0.5,0.5476,0.13,0.48,6.79,22.2,36.3,6.79,22.2,36.3,0.06,0,100,1150,622.81,903.93,1932.35,0.95,0.7,0.047,8326577.33198579,80.0460450332625,104022.345245486
"11",0.6,0.225,0.07,0.5,0.021,41.7270831971005,0.04,0.063,0.071,0,0.14,0.12,0.3,0.202,0.16,0.05,6.29,21.2,25.8,6.29,21.2,25.8,0.03,0.03,130,2300,622.81,1003.93,1532.35,0.8,0.8,0.009,14040764.4823241,145.487170414011,96508.6092634043
"12",0.5,0.211111111111111,0.05,0.23,0.047,69.9939574722619,0.09,0.02,0.047,0,0.15,0.33,0.13,0.8544,0.74,0.44,6.79,19.7,25.3,6.79,19.7,25.3,0.03,0,140,2350,522.81,753.93,1882.35,0.75,0.85,0.019,16836854.4475024,71.8374242370865,234374.417322305
"13",0.9,0.122222222222222,0.38,0.54,0.073,58.5512126858274,0.09,0.021,0.037,0,0.5,0.47,0.16,0.7396,0.58,0.38,6.29,22.7,24.8,6.29,22.7,24.8,0.03,0,190,550,522.81,1153.93,1332.35,0.95,0.65,0.011,2159559.07822973,121.685670473712,17747.028633879
"14",0.8,0.9,0.45,0.88,0.076,37.4470966244195,0.03,0.09,0.017,0,0.37,0.31,0.3,0.183,0.14,0.05,6.29,23.2,40.3,6.29,23.2,40.3,0,0.03,20,1450,522.81,803.93,1332.35,0.95,0.65,0.027,9963924.70047325,254.747745036736,39112.9063734653
"15",0.2,0.5125,0.42,0.4,0.055,94.1107863300327,0.08,0.085,0.097,0,0.45,0.31,0.45,0.6265,0.55,0.17,6.29,18.7,39.3,6.29,18.7,39.3,0.03,0,150,1650,672.81,603.93,1582.35,0.8,0.75,0.041,3361071.21375778,325.652487435797,10321.0365141781
"16",0.6,0.38,0.41,0.74,0.176,35.12786129834,0.05,0.096,0.021,0,0.38,0.13,0.5,0.466,0.11,0.4,6.29,14.2,38.8,6.29,14.2,38.8,0.03,0,90,2200,472.81,953.93,2032.35,0.95,0.7,0.019,9492026.57992906,285.210284139094,33280.8005453965
"17",0.4,0.344444444444444,0.04,0.82,0.08,52.7861634961368,0.09,0.096,0.047,0,0.36,0.43,0.33,0.1367,0.11,0.03,6.79,23.7,39.8,6.79,23.7,39.8,0,0.03,50,700,522.81,803.93,1182.35,0.8,0.85,0.031,277907.433690208,251.827046789667,1103.56467755556
"18",0.3,0.45,0.74,0.46,0.133,57.664035132136,0.04,0.093,0.055,0,0.22,0.33,0.23,0.808,0.7,0.36,6.29,14.2,19.8,6.29,14.2,19.8,0.06,0,10,500,572.81,1053.93,1632.35,0.9,0.7,0.018,2580891.42725657,307.832765548581,8384.06991100257
