"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1",0.2,0.528571428571428,0.48,0.13,0.153,30.6958793024855,0.07,0.049,0.025,0,0.38,0.15,0.28,0.9246,0.71,0.74,6.29,21.7,40.3,6.29,21.7,40.3,0.03,0,110,2100,622.81,653.93,1082.35,0.95,0.85,0.037,18224655.6637389,257.117243141375,70880.7213436018
"2",0.8,0.222222222222222,0.72,0.68,0.197,52.5338407211283,0.09,0.062,0.076,0,0.2,0.44,0.23,0.8319,0.59,0.59,6.29,18.7,38.3,6.29,18.7,38.3,0.03,0,160,650,572.81,853.93,1482.35,0.8,0.85,0.02,-121572.115028639,164.647102793207,-738.379922672137
"3",0.9,1.13333333333333,0.82,0.17,0.172,60.820197555614,0.03,0.08,0.054,0,0.17,0.17,0.43,0.658,0.4,0.43,6.29,23.7,23.3,6.29,23.7,23.3,0.03,0.03,40,1000,472.81,753.93,1732.35,1,0.75,0.034,6318626.94946732,242.246672501469,26083.4416597776
"4",0.9,0.185714285714286,0.47,0.3,0.154,72.5986484534481,0.07,0.086,0.075,0,0.33,0.48,0.23,0.776,0.68,0.3,6.79,13.7,41.3,6.79,13.7,41.3,0,0.03,30,2500,672.81,953.93,1732.35,0.95,0.7,0.013,21413713.0125557,149.349616632467,143379.765515251
"5",0.2,0.333333333333333,0.59,0.18,0.143,35.8419966057378,0.06,0.074,0.09,0,0.26,0.39,0.31,0.6481,0.31,0.49,6.29,11.2,40.8,6.29,11.2,40.8,0.03,0.03,80,1050,472.81,1053.93,2032.35,0.95,0.8,0.02,6727467.46253654,184.239119281003,36514.8698538651
"6",0.2,0.533333333333333,0.69,0.41,0.144,41.3942721759531,0.06,0.089,0.06,0,0.14,0.3,0.43,0.9538,0.79,0.78,6.79,12.7,30.3,6.79,12.7,30.3,0.06,0.06,120,1900,472.81,903.93,2132.35,0.8,0.75,0.032,6645112.80326808,340.109654974326,19538.1480827697
"7",0.6,0.255555555555556,0.54,0.29,0.053,100.218132669235,0.09,0.029,0.045,0,0.2,0.26,0.41,0.7952,0.68,0.36,6.29,17.2,28.8,6.29,17.2,28.8,0.03,0.03,150,2000,472.81,953.93,1182.35,0.9,0.85,0.023,20274408.6529292,254.253597090265,79740.8921051822
"8",0.8,0.228571428571429,0.41,0.19,0.18,52.4177073531759,0.07,0.03,0.056,0,0.11,0.16,0.28,0.8887,0.79,0.47,6.29,10.7,25.3,6.29,10.7,25.3,0.03,0.03,50,2000,422.81,753.93,1132.35,0.9,0.7,0.016,15534644.8705052,72.1352216390283,215354.503909922
"9",0.2,0.633333333333333,0.47,0.73,0.055,57.2031770384018,0.06,0.007,0.047,0,0.26,0.47,0.24,0.8934,0.59,0.74,6.29,23.7,32.8,6.29,23.7,32.8,0.03,0,150,1950,472.81,853.93,1732.35,0.75,0.7,0.038,-4270644.62020475,1040.86298695563,-4102.98442131733
"10",0.2,0.3,0.02,0.02,0.062,39.7401997205584,0.04,0.014,0.025,0,0.27,0.43,0.13,0.6661,0.47,0.37,6.79,15.7,23.8,6.79,15.7,23.8,0.06,0,50,2500,522.81,903.93,1382.35,0.9,0.65,0.012,36276201.888575,60.8396431659935,596259.28096915
