"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1",0,0.166666666666667,0.13,0.13,0.054,53.3641297738677,0.06,0.002,0.013,0,0.3,0.25,0.3,0.11,0.11,0,6.79,15.2,28.8,6.79,15.2,28.8,0.03,0.03,0,900,522.81,803.93,1332.35,0.75,0.7,0.01,7199439.16362007,122.335493610274,58849.9621095693
"2",0.5,0.26,0.78,0.62,0.051,38.7320558283179,0.05,0.066,0.075,0,0.39,0.41,0.49,0.361,0.29,0.1,5.79,22.2,24.3,5.79,22.2,24.3,0.03,0,0,1800,522.81,653.93,1682.35,0.75,0.7,0.013,15235547.859708,292.908652908196,52014.6732042197
"3",0.7,0.184615384615385,0.01,0.58,0.054,80.5489233777186,0.065,0.032,0.058,0,0.45,0.27,0.47,0.7444,0.64,0.29,6.79,8.2,40.3,6.79,8.2,40.3,0.06,0,0,1550,572.81,1253.93,1232.35,0.75,0.75,0.012,13275424.6392853,149.625641375214,88724.2622138187
"4",0.3,0.2,0.15,0.86,0.047,86.1885215473809,0.06,0.033,0.087,0,0.1,0.43,0.14,0.6873,0.41,0.47,6.29,16.2,34.8,6.29,16.2,34.8,0,0.03,0,1150,372.81,703.93,1332.35,0.85,0.65,0.012,9332447.91890564,819.435271156146,11388.8774957642
"5",0.1,0.2,0.8,0.64,0.055,79.3622794983957,0.065,0.013,0.004,0,0.26,0.24,0.14,0.15,0.15,0,6.29,24.2,38.8,6.29,24.2,38.8,0.06,0.03,0,1600,572.81,1103.93,1632.35,0.9,0.7,0.013,12897674.1066595,554.816822664543,23246.7250086571
"6",0.7,0.142857142857143,0.82,0.48,0.046,72.5595824625392,0.07,0.081,0.014,0,0.29,0.45,0.15,0.8304,0.68,0.47,6.29,21.2,32.8,6.29,21.2,32.8,0,0.06,0,1250,522.81,1053.93,1282.35,0.9,0.8,0.01,8870759.40182406,207.716034534295,42706.1850170235
"7",0.5,0.166666666666667,0.05,0.12,0.053,91.8485914249913,0.06,0.093,0.031,0,0.39,0.35,0.25,0.3808,0.28,0.14,6.29,9.7,29.8,6.29,9.7,29.8,0,0.03,0,1800,522.81,1053.93,1282.35,0.85,0.7,0.01,14406704.2605691,79.5113694052461,181190.493489584
"8",0.6,0.272727272727273,0.47,0.5,0.05,98.7768277679151,0.055,0.041,0.07,0,0.14,0.47,0.39,0.448,0.31,0.2,6.29,11.2,28.3,6.29,11.2,28.3,0,0.03,0,2050,572.81,953.93,1032.35,0.9,0.7,0.015,16471155.8144238,253.755927152917,64909.4427043593
"9",0,0.171428571428571,0.83,0.8,0.051,41.1339167935617,0.07,0.069,0.018,0,0.15,0.18,0.29,0.67,0.45,0.4,6.29,18.7,29.3,6.29,18.7,29.3,0.03,0.06,0,650,472.81,753.93,1932.35,0.8,0.75,0.012,4968436.34801812,659.59224464353,7532.58757719819
"10",0.6,0.272727272727273,0.22,0.07,0.051,59.7558889595473,0.055,0.01,0.096,0,0.22,0.17,0.13,0.4708,0.37,0.16,5.79,19.7,24.3,5.79,19.7,24.3,0,0.06,0,1700,522.81,853.93,1082.35,0.8,0.8,0.015,12650710.9463584,33.9792142934439,372307.341691514
"11",0.8,0.15,0.89,0.47,0.049,51.4922143726547,0.06,0.012,0.001,0,0.47,0.42,0.31,0.6166,0.29,0.46,6.29,11.2,28.3,6.29,11.2,28.3,0.03,0,0,850,622.81,1303.93,1882.35,0.85,0.75,0.009,6633852.92485449,211.924836460528,31302.8573509838
"12",1,0.2,0.81,0.81,0.048,110.732306473771,0.05,0.092,0.091,0,0.11,0.21,0.49,0.874,0.82,0.3,6.79,13.7,20.3,6.79,13.7,20.3,0.06,0,0,850,572.81,1103.93,982.35,0.9,0.65,0.01,6504604.04901234,43.293156902429,150245.547204422
"13",0.2,0.254545454545455,0.65,0.57,0.049,88.8509869666471,0.055,0.053,0.088,0,0.23,0.13,0.4,0.5464,0.19,0.44,6.79,8.7,40.3,6.79,8.7,40.3,0.03,0.06,0,2000,572.81,653.93,2082.35,0.9,0.8,0.014,14945303.609737,351.412252113814,42529.2616288648
"14",0.1,0.327272727272727,0.6,0.61,0.05,64.6958656422028,0.055,0.073,0.062,0,0.14,0.28,0.15,0.55,0.55,0,6.29,11.2,30.8,6.29,11.2,30.8,0.03,0,0,850,522.81,1103.93,2032.35,0.95,0.65,0.018,7339070.30617112,766.855814579128,9570.33925627728
"15",0.5,0.363636363636364,0.57,0.73,0.054,38.6977614451963,0.055,0.038,0.057,0,0.46,0.4,0.32,0.6642,0.54,0.27,6.29,9.2,19.8,6.29,9.2,19.8,0,0.06,0,800,672.81,1103.93,1682.35,0.95,0.85,0.02,5593729.45832433,304.799117613528,18352.1838977793
"16",0.2,0.38,0.82,0.18,0.05,51.4196253461723,0.05,0.04,0.032,0,0.24,0.14,0.14,0.4014,0.18,0.27,5.79,8.2,30.3,5.79,8.2,30.3,0.03,0.03,0,850,522.81,953.93,1432.35,0.9,0.7,0.019,6719548.98196602,171.554457211728,39168.6062325557
