"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1",0,0.0952380952380952,0.14,0.47,0.149,39.7401997205584,0.063,0.031,0.037,0,0.21,0.22,0.35,0.6466,0.38,0.43,6.29,12.7,20.3,6.29,12.7,20.3,0.06,0.03,0,600,422.81,1053.93,1582.35,0.75,0.8,0.006,3843494.26609114,225.383343954126,17053.1424312944
"2",0.8,0.368421052631579,0.68,0.63,0.094,48.0908013188988,0.038,0.02,0.024,0,0.29,0.42,0.34,0.41,0.41,0,5.79,11.7,36.8,5.79,11.7,36.8,0.03,0,0,750,472.81,1153.93,1782.35,1,0.7,0.014,5666099.6277801,170.321997609626,33266.9866916819
"3",0.7,0.227272727272727,0,0.16,0.112,39.6158336271559,0.044,0.041,0.002,0,0.44,0.26,0.28,0.472,0.45,0.04,6.79,10.7,37.3,6.79,10.7,37.3,0.03,0.03,0,1950,572.81,853.93,1732.35,0.8,0.8,0.01,13577298.9563065,39.8730137167236,340513.487462121
"4",0.9,0.292682926829268,0.38,0.65,0.185,53.9336347145578,0.041,0.04,0.048,0,0.2,0.34,0.48,0.3084,0.24,0.09,6.29,22.7,34.8,6.29,22.7,34.8,0.03,0.06,0,2200,522.81,1203.93,1632.35,0.95,0.7,0.012,12221468.3896756,63.9808424846924,191017.622073351
"5",0.7,0.117647058823529,0.08,0.57,0.141,96.4901110531283,0.051,0.046,0.018,0,0.36,0.37,0.29,0.9087,0.89,0.17,6.29,17.7,40.3,6.29,17.7,40.3,0.03,0.06,0,1050,572.81,1003.93,1132.35,0.85,0.65,0.006,6381367.86338969,185.782100142959,34348.6689970629
"6",0.3,0.158730158730159,0.09,0.65,0.1,62.7005710842805,0.063,0.068,0.072,0,0.42,0.13,0.11,0.6124,0.24,0.49,6.79,16.7,30.3,6.79,16.7,30.3,0.03,0.03,0,1850,472.81,1103.93,2082.35,0.85,0.8,0.01,13227197.0321024,303.539384028344,43576.5430388672
"7",0.5,0.254545454545455,0.09,0.1,0.103,46.4562961650185,0.055,0.027,0.09,0,0.14,0.39,0.32,0.8137,0.73,0.31,6.79,23.7,26.3,6.79,23.7,26.3,0.06,0,0,2450,622.81,853.93,1082.35,0.85,0.8,0.014,18665206.0414361,39.3295380710592,474584.929213063
"8",0.5,0.2,0.13,0.19,0.09,75.2905009956056,0.07,0.054,0.083,0,0.19,0.23,0.46,0.7552,0.66,0.28,6.29,14.2,31.3,6.29,14.2,31.3,0,0.03,0,1650,522.81,903.93,1082.35,0.95,0.75,0.014,12028388.5320898,109.452737743048,109895.730158232
"9",0.2,0.288888888888889,0.14,0.79,0.137,33.3858738068257,0.045,0.046,0.003,0,0.42,0.18,0.23,0.595,0.55,0.1,6.29,22.7,37.3,6.29,22.7,37.3,0.03,0,0,2050,372.81,1003.93,1232.35,0.85,0.7,0.013,14434035.1219717,568.577469066944,25386.2242301977
"10",0.8,0.282051282051282,0.53,0.74,0.17,41.7856214725239,0.039,0.019,0.015,0,0.13,0.31,0.15,0.361,0.29,0.1,5.79,21.7,25.3,5.79,21.7,25.3,0.03,0,0,1300,522.81,1003.93,1582.35,0.75,0.8,0.011,8486499.5336311,75.2952346830693,112709.649811867
