"","buget","prob"
"1",0,0.13631
"2",1000,0.14476
"3",2000,0.15331
"4",3000,0.16317
"5",4000,0.17277
"6",5000,0.18236
"7",6000,0.19306
"8",7000,0.2028
"9",8000,0.21377
"10",9000,0.22432
"11",10000,0.23545
"12",11000,0.24681
"13",12000,0.25784
"14",13000,0.26905
"15",14000,0.28023
"16",15000,0.29127
"17",16000,0.30182
"18",17000,0.31319
"19",18000,0.32418
"20",19000,0.33403
"21",20000,0.3448
"22",21000,0.355
"23",22000,0.36534
"24",23000,0.37585
"25",24000,0.38613
"26",25000,0.39606
"27",26000,0.40566
"28",27000,0.41557
"29",28000,0.42472
"30",29000,0.43387
"31",30000,0.44267
"32",31000,0.45168
"33",32000,0.4599
"34",33000,0.46805
"35",34000,0.47622
"36",35000,0.48456
"37",36000,0.49303
"38",37000,0.50157
"39",38000,0.5092
"40",39000,0.51694
"41",40000,0.52453
"42",41000,0.53203
"43",42000,0.53899
"44",43000,0.54645
"45",44000,0.55349
"46",45000,0.55997
"47",46000,0.56661
"48",47000,0.57323
"49",48000,0.57997
"50",49000,0.58579
"51",50000,0.59206
"52",51000,0.59774
"53",52000,0.60375
"54",53000,0.60967
"55",54000,0.6149
"56",55000,0.62028
"57",56000,0.6256
"58",57000,0.63094
"59",58000,0.63645
"60",59000,0.64175
"61",60000,0.64682
"62",61000,0.65176
"63",62000,0.65612
"64",63000,0.6611
"65",64000,0.66532
"66",65000,0.66967
"67",66000,0.67406
"68",67000,0.6784
"69",68000,0.68273
"70",69000,0.68675
"71",70000,0.69066
"72",71000,0.69487
"73",72000,0.69888
"74",73000,0.70289
"75",74000,0.70619
"76",75000,0.71002
"77",76000,0.71339
"78",77000,0.71674
"79",78000,0.72047
"80",79000,0.724
"81",80000,0.72762
"82",81000,0.73124
"83",82000,0.73441
"84",83000,0.73777
"85",84000,0.74107
"86",85000,0.74433
"87",86000,0.7476
"88",87000,0.75082
"89",88000,0.75379
"90",89000,0.75685
"91",90000,0.7596
"92",91000,0.76256
"93",92000,0.76532
"94",93000,0.76815
"95",94000,0.77099
"96",95000,0.77374
"97",96000,0.77643
"98",97000,0.77917
"99",98000,0.78166
"100",99000,0.78398
"101",1e+05,0.78672
"102",101000,0.78912
"103",102000,0.79147
"104",103000,0.79363
"105",104000,0.79603
"106",105000,0.79833
"107",106000,0.80053
"108",107000,0.80243
"109",108000,0.80488
"110",109000,0.80703
"111",110000,0.80941
"112",111000,0.81194
"113",112000,0.814
"114",113000,0.81609
"115",114000,0.8182
"116",115000,0.82042
"117",116000,0.82228
"118",117000,0.8241
"119",118000,0.82624
"120",119000,0.82818
"121",120000,0.82996
